context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys
466.0,127.0,59960.0,2473927351.0,2828860960.0,583252688.0,13250239.0,1.307831157,0.910236,0.322222
516.0,131.0,60013.0,2564998157.0,2821031549.0,13250239.0,13492624.0,1.365517447,0.973676,0.312605
403.0,121.0,59926.0,2415362987.0,2818239274.0,581780218.0,13031985.0,1.322253495,0.859919,0.351212
463.0,103.0,59922.0,2439848879.0,2821944391.0,13492624.0,13088939.0,1.283689024,0.86933,0.343422
460.0,122.0,59928.0,2445490645.0,2820870379.0,581177177.0,13151944.0,1.299185969,0.845072,0.377161
402.0,111.0,59934.0,2457351671.0,2817971913.0,13031985.0,13136102.0,1.276386928,0.867579,0.331206
408.0,116.0,60062.0,2355063896.0,2817932652.0,581981536.0,12813757.0,1.229180774,0.814584,0.339423
445.0,117.0,59875.0,2394735456.0,2817999355.0,13088939.0,13048709.0,1.23746768,0.921758,0.25624
436.0,129.0,59958.0,2376262447.0,2819045647.0,581780674.0,12936413.0,1.246598191,0.925205,0.259102
460.0,130.0,59938.0,2409685790.0,2819277280.0,13151944.0,13169597.0,1.252203715,0.869383,0.323895
433.0,119.0,59870.0,2425530597.0,2819171847.0,581246115.0,13383760.0,1.314768521,0.873188,0.340101
410.0,123.0,59949.0,2443882632.0,2818973582.0,13136102.0,13168748.0,1.358873464,0.94017,0.288359
474.0,129.0,59887.0,2490005734.0,2819457974.0,581256143.0,13521216.0,1.333333829,0.986821,0.254815
498.0,149.0,59986.0,2457392990.0,2820011954.0,12813757.0,13144026.0,1.327398245,0.977323,0.275594
468.0,108.0,59927.0,2455191423.0,2820030736.0,581166468.0,13321896.0,1.323098289,0.983026,0.249938
456.0,138.0,59957.0,2487337387.0,2820705387.0,13048709.0,13171742.0,1.320454645,0.994638,0.25406
419.0,103.0,59912.0,2385470767.0,2821102982.0,581424039.0,12950431.0,1.245846551,0.922796,0.260273
452.0,126.0,59934.0,2382221498.0,2819265737.0,12936413.0,12881497.0,1.245048172,0.859272,0.309597
447.0,113.0,59906.0,2471780467.0,2819990441.0,581436720.0,13362362.0,1.382580528,0.957636,0.284924
440.0,114.0,59950.0,2401200528.0,2817778888.0,13169597.0,13132156.0,1.253688,0.911022,0.270588
431.0,101.0,59926.0,2374751024.0,2817142035.0,581459221.0,12903590.0,1.236084572,0.876264,0.28931
427.0,121.0,59914.0,2364343707.0,2818190714.0,13383760.0,12841261.0,1.240197363,0.840946,0.320576
