context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys
456.0,138.0,59957.0,2487337387.0,2820705387.0,581741950.0,13171742.0,1.320454645,0.994638,0.25406
623.0,124.0,59941.0,2476298714.0,2819723633.0,13171742.0,13263069.0,1.283907416,0.885089,0.338674
417.0,102.0,59929.0,2387997205.0,2817340026.0,581532261.0,13162617.0,1.245201689,0.893437,0.276839
461.0,132.0,59952.0,2388895027.0,2818589134.0,13263069.0,12916701.0,1.283470219,0.966817,0.248314
496.0,131.0,59924.0,2451648434.0,2817755377.0,581024681.0,13328010.0,1.316656304,0.967778,0.288562
443.0,115.0,59921.0,2356497647.0,2816335067.0,13162617.0,12915996.0,1.234081124,0.890864,0.261208
390.0,107.0,59917.0,2379350930.0,2817016299.0,581277750.0,12901011.0,1.23657456,0.863808,0.310021
439.0,113.0,59918.0,2448803459.0,2818647553.0,12916701.0,13259301.0,1.287641776,0.907155,0.321621
418.0,107.0,59984.0,2386816085.0,2818165971.0,581065567.0,12922130.0,1.234826436,0.846503,0.322918
440.0,116.0,59971.0,2378283235.0,2817386869.0,13328010.0,12992983.0,1.244329908,0.824388,0.345964
446.0,116.0,59977.0,2392816288.0,2818269780.0,580819520.0,13110217.0,1.248044246,0.928278,0.251707
444.0,102.0,59978.0,2375450991.0,2818508836.0,12915996.0,12950832.0,1.246751335,0.860562,0.30614
447.0,115.0,59943.0,2378184258.0,2817384838.0,580958113.0,12946347.0,1.243997614,0.942014,0.227084
480.0,121.0,59896.0,2407787178.0,2817690957.0,12901011.0,13154004.0,1.284255995,0.883948,0.296797
425.0,130.0,59981.0,2396490157.0,2817449448.0,581268938.0,13121888.0,1.232223054,0.920635,0.244774
460.0,126.0,59915.0,2394838620.0,2818043478.0,13259301.0,13055541.0,1.255034898,0.87211,0.30946
450.0,121.0,59937.0,2380963997.0,2818951963.0,581227664.0,13020296.0,1.23436953,0.868782,0.302828
429.0,117.0,59951.0,2381939288.0,2818345801.0,12922130.0,13006767.0,1.233927268,0.861108,0.30762
458.0,126.0,59919.0,2398083281.0,2818427280.0,581037949.0,13115084.0,1.29384903,0.88313,0.295901
